first_name,last_name,plays,gender,country,age,DOB,height,weight,current_singles,highest_singles,current_doubles,highest_doubles,singles_main_tournmaents,singles_lower_tournaments,doubles_main_tournaments,doubles_lower_tournaments,wins_singles,losses_singles,total_singles,References
హంబర్ట్,ఉగో,ఎడమ,పురుషుడు,ఫ్రాన్స్,23,26. 6. 1998,188 cm,73 kg,46,25,627,30,3,10,3,10,37,43,,https://www.tennisexplorer.com/list-players/?country=france
బోంజి,బెంజమిన్,కుడి,పురుషుడు,ఫ్రాన్స్,25,9. 6. 1996,185 cm,76 kg,52,52,153,125,0,19,0,19,212,113,,https://www.tennisexplorer.com/list-players/?country=france
రిండెర్క్నెచ్,ఆర్థర్,కుడి,పురుషుడు,ఫ్రాన్స్,26,23. 7. 1995,196 cm,86 kg,68,48,152,124,0,8,0,8,62,47,,https://www.tennisexplorer.com/list-players/?country=france
మన్నరినో,అడ్రియన్,ఎడమ,పురుషుడు,ఫ్రాన్స్,33,29. 6. 1988,180 cm,79 kg,69,22,403,34,1,20,1,20,54,120,,https://www.tennisexplorer.com/list-players/?country=france
గ్యాస్కెట్,రిచర్డ్,కుడి,పురుషుడు,ఫ్రాన్స్,35,18. 6. 1986,183 cm,79 kg,70,7,,45,16,11,16,11,78,66,,https://www.tennisexplorer.com/list-players/?country=france
గాస్టన్,హ్యూగో,ఎడమ,పురుషుడు,ఫ్రాన్స్,21,26. 9. 2000,173 cm,68 kg,74,63,258,161,0,4,0,4,39,44,,https://www.tennisexplorer.com/list-players/?country=france
పేర్  ,బెనాయిట్,కుడి,పురుషుడు,ఫ్రాన్స్,33,8. 5. 1989,196 cm,80 kg,78,18,112,28,3,12,3,12,100,174,,https://www.tennisexplorer.com/list-players/?country=france
హాలీస్,క్వెంటిన్,కుడి,పురుషుడు,ఫ్రాన్స్,25,26. 10. 1996,191 cm,78 kg,84,84,209,138,0,11,0,11,112,110,,https://www.tennisexplorer.com/list-players/?country=france
మౌటెట్,కోరెంటిన్,ఎడమ,పురుషుడు,ఫ్రాన్స్,23,19. 4. 1999,175 cm,68 kg,139,67,,72,0,9,0,9,6,14,,https://www.tennisexplorer.com/list-players/?country=france
గినార్డ్,మాన్యువల్,కుడి,పురుషుడు,ఫ్రాన్స్,26,15. 11. 1995,196 cm,81 kg,146,146,167,155,0,10,0,10,130,100,,https://www.tennisexplorer.com/list-players/?country=france
గ్రేనియర్,హ్యూగో,కుడి,పురుషుడు,ఫ్రాన్స్,26,23. 3. 1996,196 cm,85 kg,151,149,382,242,0,7,0,7,80,66,,https://www.tennisexplorer.com/list-players/?country=france
సైమన్,గిల్లెస్,కుడి,పురుషుడు,ఫ్రాన్స్,37,27. 12. 1984,183 cm,70 kg,158,6,897,63,14,12,14,12,47,165,,https://www.tennisexplorer.com/list-players/?country=france
పౌయిల్,లూకాస్,కుడి,పురుషుడు,ఫ్రాన్స్,28,23. 2. 1994,185 cm,84 kg,162,10,449,70,5,5,5,5,44,81,,https://www.tennisexplorer.com/list-players/?country=france
లెస్టియెన్,కాన్స్టాంట్ ,కుడి,పురుషుడు,ఫ్రాన్స్,30,23. 5. 1992,180 cm,77 kg,169,142,,217,0,8,0,8,44,73,,https://www.tennisexplorer.com/list-players/?country=france
హెర్బర్ట్,పియర్‌హు  గ్యూస్,కుడి,పురుషుడు,ఫ్రాన్స్,31,18. 3. 1991,188 cm,75 kg,172,36,6,2,0,10,0,10,342,136,,https://www.tennisexplorer.com/list-players/?country=france
కౌకాడ్,ఎంజో,కుడి,పురుషుడు,ఫ్రాన్స్,27,1. 3. 1995,183 cm,78 kg,184,155,388,188,0,14,0,14,69,56,,https://www.tennisexplorer.com/list-players/?country=france
బ్లాంకనేక్స్,జాఫ్రీ,కుడి,పురుషుడు,ఫ్రాన్స్,23,8. 8. 1998,180 cm,75 kg,191,191,213,196,0,14,0,14,104,102,,https://www.tennisexplorer.com/list-players/?country=france
బర్రెరే,గ్రెగోయిర్,కుడి,పురుషుడు,ఫ్రాన్స్,28,16. 2. 1994,183 cm,80 kg,210,80,773,109,0,9,0,9,120,105,,https://www.tennisexplorer.com/list-players/?country=france
కొలిమి,ఇవాన్,కుడి,పురుషుడు,ఫ్రాన్స్,23,13. 8. 1998,170 cm,66 kg,213,212,520,376,0,9,0,9,47,74,,https://www.tennisexplorer.com/list-players/?country=france
ఎస్కోఫియర్,ఆంటోయిన్,కుడి,పురుషుడు,ఫ్రాన్స్,30,29. 2. 1992,185 cm,78 kg,215,212,990,387,0,13,0,13,118,94,,https://www.tennisexplorer.com/list-players/?country=france
ముల్లర్,అలెగ్జాండ్రే,కుడి,పురుషుడు,ఫ్రాన్స్,25,1. 2. 1997,183 cm,75 kg,218,189,266,194,0,7,0,7,92,89,,https://www.tennisexplorer.com/list-players/?country=france
హోయాంగ్,ఆంటోయిన్,కుడి,పురుషుడు,ఫ్రాన్స్,26,4. 11. 1995,183 cm,76 kg,236,98,193,119,0,5,0,5,178,105,,https://www.tennisexplorer.com/list-players/?country=france
లోకోలి,లారెంట్,కుడి,పురుషుడు,ఫ్రాన్స్,27,18. 10. 1994,188 cm,78 kg,284,207,1625,371,0,13,0,13,63,52,,https://www.tennisexplorer.com/list-players/?country=france
జాన్వియర్,మాక్సిమ్ ,కుడి,పురుషుడు,ఫ్రాన్స్,25,18. 10. 1996,193 cm,80 kg,285,170,315,210,0,8,0,8,78,86,,https://www.tennisexplorer.com/list-players/?country=france
సోంగా,జో  విల్‌ఫ్రైడ్,కుడి,పురుషుడు,ఫ్రాన్స్,37,17. 4. 1985,188 cm,93 kg,297,5,362,33,19,15,19,15,89,75,,https://www.tennisexplorer.com/list-players/?country=france
బోర్గ్,మాథియాస్,కుడి,పురుషుడు,ఫ్రాన్స్,28,18. 1. 1994,188 cm,83 kg,302,140,,210,0,12,0,12,19,47,,https://www.tennisexplorer.com/list-players/?country=france
జాకెట్,కిరియన్,కుడి,పురుషుడు,ఫ్రాన్స్,21,11. 5. 2001,175 cm,65 kg,331,300,261,261,0,1,0,1,19,20,,https://www.tennisexplorer.com/list-players/?country=france
హేమెరీ,కాల్విన్,కుడి,పురుషుడు,ఫ్రాన్స్,27,28. 1. 1995,191 cm,83 kg,339,116,872,223,0,8,0,8,59,55,,https://www.tennisexplorer.com/list-players/?country=france
కాజాక్స్,ఆర్థర్,కుడి,పురుషుడు,ఫ్రాన్స్,19,23. 8. 2002,,,344,281,510,430,0,3,0,3,11,10,,https://www.tennisexplorer.com/list-players/?country=france
గౌటియర్,అలెక్సిస్,కుడి,పురుషుడు,ఫ్రాన్స్,25,7. 4. 1997,198 cm,75 kg,346,326,,569,0,3,0,3,6,11,,https://www.tennisexplorer.com/list-players/?country=france
చార్డీ,జెరెమీ,కుడి,పురుషుడు,ఫ్రాన్స్,35,12. 2. 1987,188 cm,75 kg,347,25,164,24,1,7,1,7,211,225,,https://www.tennisexplorer.com/list-players/?country=france
లామసిన్,ట్రిస్టన్,కుడి,పురుషుడు,ఫ్రాన్స్,29,5. 3. 1993,183 cm,69 kg,350,181,281,85,0,3,0,3,158,126,,https://www.tennisexplorer.com/list-players/?country=france
టబుర్,క్లెమెంట్,కుడి,పురుషుడు,ఫ్రాన్స్,22,24. 1. 2000,170 cm,70 kg,365,360,590,385,0,3,0,3,92,51,,https://www.tennisexplorer.com/list-players/?country=france
చేర్చబడింది,డాన్,కుడి,పురుషుడు,ఫ్రాన్స్,23,13. 4. 1999,183 cm,72 kg,374,359,190,190,0,6,0,6,194,67,,https://www.tennisexplorer.com/list-players/?country=france
వ్యాన్,అస్చె  లుకా,కుడి,పురుషుడు,ఫ్రాన్స్,18,11. 5. 2004,,,381,373,482,482,0,1,0,1,11,10,,https://www.tennisexplorer.com/list-players/?country=france
డ్రోగెట్,టిటౌవాన్,కుడి,పురుషుడు,ఫ్రాన్స్,20,15. 6. 2001,,,389,383,280,280,0,1,0,1,49,27,,https://www.tennisexplorer.com/list-players/?country=france
డి,షెప్పర్  కెన్నీ ,ఎడమ,పురుషుడు,ఫ్రాన్స్,35,29. 5. 1987,203 cm,100 kg,400,62,1144,152,0,8,0,8,53,84,,https://www.tennisexplorer.com/list-players/?country=france
పూరిస్తుంది,ఆర్థర్,కుడి,పురుషుడు,ఫ్రాన్స్,17,12. 6. 2004,,,409,405,914,690,0,0,0,0,13,13,,https://www.tennisexplorer.com/list-players/?country=france
మార్టినో,మాటియో,కుడి,పురుషుడు,ఫ్రాన్స్,23,16. 1. 1999,183 cm,76 kg,410,323,557,362,0,4,0,4,85,65,,https://www.tennisexplorer.com/list-players/?country=france
మయోట్,హెరాల్డ్,కుడి,పురుషుడు,ఫ్రాన్స్,20,4. 2. 2002,178 cm,71 kg,427,401,494,426,0,2,0,2,23,23,,https://www.tennisexplorer.com/list-players/?country=france
పెర్చికోట్,మాథ్యూ,కుడి,పురుషుడు,ఫ్రాన్స్,29,28. 8. 1992,185 cm,85 kg,441,409,1279,460,0,4,0,4,25,40,,https://www.tennisexplorer.com/list-players/?country=france
రాయర్,వాలెంటిన్,కుడి,పురుషుడు,ఫ్రాన్స్,21,29. 5. 2001,188 cm,83 kg,460,460,960,655,0,1,0,1,13,9,,https://www.tennisexplorer.com/list-players/?country=france
బ్లాంచెట్,ఉగో,కుడి,పురుషుడు,ఫ్రాన్స్,23,5. 1. 1999,,,464,464,459,452,0,2,0,2,42,55,,https://www.tennisexplorer.com/list-players/?country=france
చిదేఖ్,క్లెమెంట్,కుడి,పురుషుడు,ఫ్రాన్స్,21,13. 1. 2001,,,521,509,1321,1319,0,1,0,1,3,6,,https://www.tennisexplorer.com/list-players/?country=france
బ్రియాండ్,జుర్గెన్,కుడి,పురుషుడు,ఫ్రాన్స్,23,11. 1. 1999,,,526,526,1143,1084,0,0,0,0,12,19,,https://www.tennisexplorer.com/list-players/?country=france
డెనోలీ,కోరెంటిన్,ఎడమ,పురుషుడు,ఫ్రాన్స్,24,6. 6. 1997,185 cm,77 kg,528,289,311,271,0,8,0,8,146,88,,https://www.tennisexplorer.com/list-players/?country=france
ఫోలియట్,క్వెంటిన్,కుడి,పురుషుడు,ఫ్రాన్స్,23,31. 12. 1998,,,533,507,736,597,0,0,0,0,68,87,,https://www.tennisexplorer.com/list-players/?country=france
ఆత్మనే,టెరెన్స్,ఎడమ,పురుషుడు,ఫ్రాన్స్,20,9. 1. 2002,,,536,531,2329,1050,0,0,0,0,2,10,,https://www.tennisexplorer.com/list-players/?country=france
మహుత్,నికోలస్,కుడి,పురుషుడు,ఫ్రాన్స్,40,21. 1. 1982,191 cm,82 kg,537,37,4,1,5,14,5,14,575,321,,https://www.tennisexplorer.com/list-players/?country=france
ఎర్హార్డ్,మ్యాథ్స్,కుడి,పురుషుడు,ఫ్రాన్స్,20,26. 10. 2001,188 cm,80 kg,575,575,1882,1210,0,2,0,2,5,9,,https://www.tennisexplorer.com/list-players/?country=france
రేమండ్,ఆర్థర్,ఎడమ,పురుషుడు,ఫ్రాన్స్,23,2. 4. 1999,180 cm,73 kg,582,581,516,422,0,1,0,1,65,63,,https://www.tennisexplorer.com/list-players/?country=france
ఎంపెట్షి,పెరికార్డ్  గియోవన్నీ ,కుడి,పురుషుడు,ఫ్రాన్స్,18,8. 7. 2003,,,589,568,877,655,0,1,0,1,19,19,,https://www.tennisexplorer.com/list-players/?country=france
గుయెమార్డ్,వేయెన్‌బర్గ్ సశ్చ ,కుడి,పురుషుడు,ఫ్రాన్స్,18,1. 8. 2003,,,595,587,468,467,0,0,0,0,12,8,,https://www.tennisexplorer.com/list-players/?country=france
క్యూనిన్,సీన్,కుడి,పురుషుడు,ఫ్రాన్స్,18,16. 2. 2004,,,603,595,1680,1674,0,1,0,1,3,6,,https://www.tennisexplorer.com/list-players/?country=france
ఏంజెల్,జైమీ  ఫ్లాయిడ్,కుడి,పురుషుడు,ఫ్రాన్స్,22,27. 3. 2000,206 cm,93 kg,611,547,1152,735,0,1,0,1,31,44,,https://www.tennisexplorer.com/list-players/?country=france
చజల్,మాక్సిమే ,కుడి,పురుషుడు,ఫ్రాన్స్,29,24. 4. 1993,175 cm,72 kg,614,234,755,347,0,11,0,11,102,94,,https://www.tennisexplorer.com/list-players/?country=france
ఒకలా,జూల్స్,కుడి,పురుషుడు,ఫ్రాన్స్,24,18. 8. 1997,193 cm,94 kg,634,338,,363,0,5,0,5,23,75,,https://www.tennisexplorer.com/list-players/?country=france
ముసియాలెక్,అలెక్సిస్,కుడి,పురుషుడు,ఫ్రాన్స్,33,4. 7. 1988,183 cm,80 kg,653,255,731,421,0,10,0,10,163,141,,https://www.tennisexplorer.com/list-players/?country=france
హమౌ,మాక్సిమే ,కుడి,పురుషుడు,ఫ్రాన్స్,26,8. 6. 1995,185 cm,75 kg,667,211,1611,358,0,12,0,12,41,69,,https://www.tennisexplorer.com/list-players/?country=france
తిరోయిన్,జీన్,కుడి,పురుషుడు,ఫ్రాన్స్,24,18. 9. 1997,188 cm,85 kg,702,605,984,610,0,0,0,0,30,36,,https://www.tennisexplorer.com/list-players/?country=france
ఐసెరిక్,జోనాథన్,ఎడమ,పురుషుడు,ఫ్రాన్స్,32,27. 5. 1990,180 cm,80 kg,704,202,150,66,0,17,0,17,279,198,,https://www.tennisexplorer.com/list-players/?country=france
అందగత్తె,మాక్సెన్స్,కుడి,పురుషుడు,ఫ్రాన్స్,21,8. 6. 2000,183 cm,70 kg,712,712,894,882,0,0,0,0,21,49,,https://www.tennisexplorer.com/list-players/?country=france
డౌంబియా,సాడియో,కుడి,పురుషుడు,ఫ్రాన్స్,31,12. 9. 1990,183 cm,78 kg,728,250,91,88,0,7,0,7,218,130,,https://www.tennisexplorer.com/list-players/?country=france
బ్రేసాచ్,మార్టిన్,కుడి,పురుషుడు,ఫ్రాన్స్,20,30. 1. 2002,,,740,736,384,382,0,1,0,1,49,22,,https://www.tennisexplorer.com/list-players/?country=france
బెర్ట్రాండ్,రాబిన్,కుడి,పురుషుడు,ఫ్రాన్స్,19,15. 3. 2003,,,752,750,760,758,0,1,0,1,22,24,,https://www.tennisexplorer.com/list-players/?country=france
మొక్కజొన్న,చౌవింక్ అంటోయినే ,కుడి,పురుషుడు,ఫ్రాన్స్,21,7. 7. 2000,,,757,408,835,440,0,2,0,2,44,41,,https://www.tennisexplorer.com/list-players/?country=france
సఖారోవ్,గ్లెబ్,కుడి,పురుషుడు,ఫ్రాన్స్,33,10. 6. 1988,185 cm,80 kg,766,153,913,313,0,12,0,12,65,74,,https://www.tennisexplorer.com/list-players/?country=france
వాంగ్,తఖున్,కుడి,పురుషుడు,ఫ్రాన్స్,30,13. 10. 1991,175 cm,68 kg,767,265,2261,312,0,10,0,10,106,59,,https://www.tennisexplorer.com/list-players/?country=france
లెగౌట్,టిమో,కుడి,పురుషుడు,ఫ్రాన్స్,,,,,770,716,667,662,0,1,0,1,9,12,,https://www.tennisexplorer.com/list-players/?country=france
సీటున్,నాథన్,కుడి,పురుషుడు,ఫ్రాన్స్,24,25. 6. 1997,,,772,666,1248,857,0,1,0,1,19,36,,https://www.tennisexplorer.com/list-players/?country=france
డెబ్రూ,గాబ్రియేల్,కుడి,పురుషుడు,ఫ్రాన్స్,,,,,781,781,1429,1410,0,0,0,0,4,7,,https://www.tennisexplorer.com/list-players/?country=france
బౌకియర్,ఆర్థర్,కుడి,పురుషుడు,ఫ్రాన్స్,21,25. 12. 2000,,,787,751,304,304,0,0,0,0,90,36,,https://www.tennisexplorer.com/list-players/?country=france
వాలార్ట్,ఎంజో,కుడి,పురుషుడు,ఫ్రాన్స్,25,12. 2. 1997,,,820,816,1101,1096,0,0,0,0,18,26,,https://www.tennisexplorer.com/list-players/?country=france
క్రీపట్టే,బాప్టిస్ట్,కుడి,పురుషుడు,ఫ్రాన్స్,27,21. 9. 1994,185 cm,73 kg,832,276,1182,357,0,8,0,8,67,80,,https://www.tennisexplorer.com/list-players/?country=france
పావ్లోవిక్,లూకా,కుడి,పురుషుడు,ఫ్రాన్స్,22,30. 3. 2000,,,834,834,1552,988,0,1,0,1,22,27,,https://www.tennisexplorer.com/list-players/?country=france
రౌమనే,రాయనే,కుడి,పురుషుడు,ఫ్రాన్స్,21,11. 9. 2000,,,837,358,2047,376,0,1,0,1,4,11,,https://www.tennisexplorer.com/list-players/?country=france
మేరీ,జూల్స్,కుడి,పురుషుడు,ఫ్రాన్స్,30,1. 9. 1991,185 cm,76 kg,842,228,,656,0,13,0,13,37,42,,https://www.tennisexplorer.com/list-players/?country=france
గార్సియన్,ఆక్సెల్,కుడి,పురుషుడు,ఫ్రాన్స్,19,7. 6. 2002,,,852,850,820,784,0,0,0,0,18,24,,https://www.tennisexplorer.com/list-players/?country=france
పెట్టె,ఫ్లోరెంట్,కుడి,పురుషుడు,ఫ్రాన్స్,22,16. 6. 1999,,,857,857,867,853,0,0,0,0,18,25,,https://www.tennisexplorer.com/list-players/?country=france
రెకో,అలెగ్జాండ్రే,కుడి,పురుషుడు,ఫ్రాన్స్,23,27. 4. 1999,,,862,859,1187,1187,0,0,0,0,8,6,,https://www.tennisexplorer.com/list-players/?country=france
టెప్మఃక్,నికోలస్,కుడి,పురుషుడు,ఫ్రాన్స్,21,23. 5. 2001,,,881,879,1148,1146,0,0,0,0,8,19,,https://www.tennisexplorer.com/list-players/?country=france
రాబర్ట్,క్వెంటిన్ (1994),కుడి,పురుషుడు,ఫ్రాన్స్,27,24. 8. 1994,188 cm,78 kg,888,433,1546,460,0,3,0,3,42,67,,https://www.tennisexplorer.com/list-players/?country=france
బ్రోవిల్లే,మాక్సెన్స్,కుడి,పురుషుడు,ఫ్రాన్స్,23,31. 1. 1999,,,891,866,1075,829,0,0,0,0,36,56,,https://www.tennisexplorer.com/list-players/?country=france
పొంటికో,హ్యూగో,కుడి,పురుషుడు,ఫ్రాన్స్,24,19. 10. 1997,180 cm,70 kg,901,844,1609,760,0,0,0,0,34,50,,https://www.tennisexplorer.com/list-players/?country=france
టాట్లాట్,జోహన్ సెబాస్టియన్ ,కుడి,పురుషుడు,ఫ్రాన్స్,26,26. 3. 1996,180 cm,80 kg,913,226,1500,480,0,6,0,6,54,47,,https://www.tennisexplorer.com/list-players/?country=france
మార్మౌసెజ్,లిలియన్,కుడి,పురుషుడు,ఫ్రాన్స్,20,3. 1. 2002,,,916,682,1067,716,0,0,0,0,23,19,,https://www.tennisexplorer.com/list-players/?country=france
బిటౌన్,కౌజ్మిన్ ,ఎడమ,పురుషుడు,ఫ్రాన్స్,23,4. 1. 1999,175 cm,73 kg,939,522,710,645,0,0,0,0,50,53,,https://www.tennisexplorer.com/list-players/?country=france
స్కాగ్లియా,మాథ్యూ,కుడి,పురుషుడు,ఫ్రాన్స్,23,23. 11. 1998,,,946,946,928,805,0,0,0,0,16,21,,https://www.tennisexplorer.com/list-players/?country=france
బొకే,లూకాస్,కుడి,పురుషుడు,ఫ్రాన్స్,24,5. 8. 1997,,,955,955,888,886,0,0,0,0,34,70,,https://www.tennisexplorer.com/list-players/?country=france
టెస్సా,లూయిస్,కుడి,పురుషుడు,ఫ్రాన్స్,24,6. 4. 1998,,,961,759,868,592,0,0,0,0,86,75,,https://www.tennisexplorer.com/list-players/?country=france
మోరా,మాక్సిమే ,కుడి,పురుషుడు,ఫ్రాన్స్,25,26. 3. 1997,185 cm,75 kg,963,757,890,595,0,0,0,0,65,72,,https://www.tennisexplorer.com/list-players/?country=france
డెస్చాంప్స్,థామస్,కుడి,పురుషుడు,ఫ్రాన్స్,23,19. 7. 1998,,,987,985,1862,1738,0,0,0,0,4,8,,https://www.tennisexplorer.com/list-players/?country=france
రెబౌల్,ఫాబియన్,కుడి,పురుషుడు,ఫ్రాన్స్,26,9. 9. 1995,,,1015,329,93,89,0,3,0,3,274,136,,https://www.tennisexplorer.com/list-players/?country=france
డెలేజ్,పియర్,కుడి,పురుషుడు,ఫ్రాన్స్,21,22. 1. 2001,,,1019,824,969,904,0,0,0,0,23,29,,https://www.tennisexplorer.com/list-players/?country=france
నైస్,హ్యూగో,కుడి,పురుషుడు,ఫ్రాన్స్,31,16. 2. 1991,185 cm,78 kg,1042,327,55,41,0,6,0,6,366,215,,https://www.tennisexplorer.com/list-players/?country=france
రోచెట్,లారెంట్,కుడి,పురుషుడు,ఫ్రాన్స్,34,5. 2. 1988,180 cm,77 kg,1044,202,,252,0,13,0,13,74,55,,https://www.tennisexplorer.com/list-players/?country=france
పెటిట్,గాబ్రియేల్,కుడి,పురుషుడు,ఫ్రాన్స్,26,22. 8. 1995,180 cm,78 kg,1049,451,1767,490,0,1,0,1,89,86,,https://www.tennisexplorer.com/list-players/?country=france
వోయిసిన్,ఎమిలియన్,కుడి,పురుషుడు,ఫ్రాన్స్,22,17. 4. 2000,178 cm,72 kg,1056,1049,1238,1008,0,0,0,0,13,14,,https://www.tennisexplorer.com/list-players/?country=france
డస్సిన్,లూయిస్,కుడి,పురుషుడు,ఫ్రాన్స్,22,1. 7. 1999,,,1058,799,864,638,0,0,0,0,40,48,,https://www.tennisexplorer.com/list-players/?country=france
పూరోయ్,లోరిస్,కుడి,పురుషుడు,ఫ్రాన్స్,,,,,1077,1040,2047,1359,0,0,0,0,4,9,,https://www.tennisexplorer.com/list-players/?country=france
బూర్గోయిస్,సీజర్,కుడి,పురుషుడు,ఫ్రాన్స్,24,14. 11. 1997,194 cm,83 kg,1083,1075,883,792,0,0,0,0,18,17,,https://www.tennisexplorer.com/list-players/?country=france
ఒలివెట్టి,అల్బానో,కుడి,పురుషుడు,ఫ్రాన్స్,30,24. 11. 1991,203 cm,104 kg,1086,161,87,87,0,6,0,6,284,158,,https://www.tennisexplorer.com/list-players/?country=france
రోడ్రిగ్జ్,లిసాండ్రు,కుడి,పురుషుడు,ఫ్రాన్స్,20,28. 5. 2002,,,1089,1083,1011,977,0,0,0,0,10,18,,https://www.tennisexplorer.com/list-players/?country=france
జోంకోర్,రోనన్,ఎడమ,పురుషుడు,ఫ్రాన్స్,25,27. 1. 1997,188 cm,80 kg,1098,574,957,479,0,1,0,1,96,107,,https://www.tennisexplorer.com/list-players/?country=france
వోల్జాక్వెస్,హ్యూగో,కుడి,పురుషుడు,ఫ్రాన్స్,29,30. 12. 1992,180 cm,72 kg,1105,673,,233,0,0,0,0,158,91,,https://www.tennisexplorer.com/list-players/?country=france
వల్సెచ్చి,పాల్,ఎడమ,పురుషుడు,ఫ్రాన్స్,24,20. 8. 1997,,,1133,1133,1292,1286,0,0,0,0,16,57,,https://www.tennisexplorer.com/list-players/?country=france
లాపాలు,వాలెంటిన్,కుడి,పురుషుడు,ఫ్రాన్స్,,,,,1151,1151,951,868,0,0,0,0,12,11,,https://www.tennisexplorer.com/list-players/?country=france
చౌతాకియన్,మాక్సిమే ,కుడి,పురుషుడు,ఫ్రాన్స్,28,3. 1. 1994,183 cm,68 kg,1177,538,1350,384,0,0,0,0,103,100,,https://www.tennisexplorer.com/list-players/?country=france
ఫెయివ్రే,పియర్,కుడి,పురుషుడు,ఫ్రాన్స్,26,12. 2. 1996,,,1218,813,1023,539,0,0,0,0,40,53,,https://www.tennisexplorer.com/list-players/?country=france
లెస్క్యూర్,మిక్,కుడి,పురుషుడు,ఫ్రాన్స్,29,2. 6. 1993,183 cm,72 kg,1225,487,815,311,0,4,0,4,183,122,,https://www.tennisexplorer.com/list-players/?country=france
జాంబీ,టామ్,కుడి,పురుషుడు,ఫ్రాన్స్,31,18. 2. 1991,198 cm,96 kg,1242,313,796,212,0,6,0,6,124,64,,https://www.tennisexplorer.com/list-players/?country=france
రేనెల్,అమౌరీ,కుడి,పురుషుడు,ఫ్రాన్స్,,,,,1263,1263,1381,1373,0,0,0,0,4,6,,https://www.tennisexplorer.com/list-players/?country=france
మిత్జానా,లెనీ,కుడి,పురుషుడు,ఫ్రాన్స్,27,1. 8. 1994,183 cm,75 kg,1276,458,,933,0,3,0,3,21,50,,https://www.tennisexplorer.com/list-players/?country=france
మినా,జియాని,కుడి,పురుషుడు,ఫ్రాన్స్,30,9. 2. 1992,188 cm,85 kg,1284,219,,607,0,7,0,7,36,49,,https://www.tennisexplorer.com/list-players/?country=france
వాండర్మీర్ష్,సిరిల్,కుడి,పురుషుడు,ఫ్రాన్స్,23,6. 5. 1999,,,1316,1281,1896,1354,0,0,0,0,6,14,,https://www.tennisexplorer.com/list-players/?country=france
పౌలయిన్,లూకాస్,కుడి,పురుషుడు,ఫ్రాన్స్,26,5. 12. 1995,,,1324,426,,512,0,4,0,4,40,44,,https://www.tennisexplorer.com/list-players/?country=france
విల్లోస్లాడ,ఎడ్వర్డ్,కుడి,పురుషుడు,ఫ్రాన్స్,22,1. 1. 2000,,,1347,1303,2407,2399,0,0,0,0,1,9,,https://www.tennisexplorer.com/list-players/?country=france
బౌరో,అలెక్సిస్,కుడి,పురుషుడు,ఫ్రాన్స్,26,25. 4. 1996,,,1353,1247,1610,1332,0,0,0,0,13,28,,https://www.tennisexplorer.com/list-players/?country=france
జాక్,గ్రెగోయిర్,ఎడమ,పురుషుడు,ఫ్రాన్స్,29,9. 11. 1992,180 cm,72 kg,1388,332,1231,210,0,5,0,5,147,105,,https://www.tennisexplorer.com/list-players/?country=france
లారెంట్,థామస్,కుడి,పురుషుడు,ఫ్రాన్స్,24,16. 12. 1997,,,1388,471,,487,0,3,0,3,2,8,,https://www.tennisexplorer.com/list-players/?country=france
ఇంచాస్పే,పాల్,కుడి,పురుషుడు,ఫ్రాన్స్,,,,,1402,1383,1713,1713,0,0,0,0,2,2,,https://www.tennisexplorer.com/list-players/?country=france
జియా,ఆర్థర్,కుడి,పురుషుడు,ఫ్రాన్స్,,,,,1403,1398,2095,2092,0,0,0,0,1,1,,https://www.tennisexplorer.com/list-players/?country=france
అర్రిబేజ్,థియో,కుడి,పురుషుడు,ఫ్రాన్స్,21,9. 10. 2000,,,1431,1423,253,253,0,0,0,0,81,51,,https://www.tennisexplorer.com/list-players/?country=france
ఆబ్రియోట్,అలెగ్జాండ్రే,కుడి,పురుషుడు,ఫ్రాన్స్,22,6. 6. 1999,,,1455,1446,1543,1533,0,0,0,0,4,11,,https://www.tennisexplorer.com/list-players/?country=france
బ్రూట్,లిలియన్,కుడి,పురుషుడు,ఫ్రాన్స్,,,,,1455,1446,1775,1775,0,0,0,0,2,9,,https://www.tennisexplorer.com/list-players/?country=france
షాట్,హ్యూగో,కుడి,పురుషుడు,ఫ్రాన్స్,25,5. 9. 1996,,,1460,899,1597,885,0,0,0,0,31,55,,https://www.tennisexplorer.com/list-players/?country=france
దర్రాస్,మేయుల్,కుడి,పురుషుడు,ఫ్రాన్స్,23,1. 2. 1999,,,1497,1353,781,773,0,0,0,0,19,26,,https://www.tennisexplorer.com/list-players/?country=france
బోల్ట్జ్,సెబాస్టియన్,కుడి,పురుషుడు,ఫ్రాన్స్,29,5. 4. 1993,178 cm,74 kg,1535,276,2095,414,0,7,0,7,101,82,,https://www.tennisexplorer.com/list-players/?country=france
లాంబ్లింగ్,రాఫెల్,కుడి,పురుషుడు,ఫ్రాన్స్,22,2. 5. 2000,,,1558,1552,1712,1639,0,0,0,0,4,4,,https://www.tennisexplorer.com/list-players/?country=france
మిస్రాహి,జో,కుడి,పురుషుడు,ఫ్రాన్స్,,,,,1558,1552,,,0,0,0,0,0,5,,https://www.tennisexplorer.com/list-players/?country=france
రత్సరతని,లోయిక్,కుడి,పురుషుడు,ఫ్రాన్స్,23,31. 5. 1999,,,1558,1179,,1377,0,0,0,0,2,11,,https://www.tennisexplorer.com/list-players/?country=france
ఫాస్బెండర్,బోరిస్,కుడి,పురుషుడు,ఫ్రాన్స్,24,20. 3. 1998,,,1580,1195,2095,1244,0,0,0,0,10,32,,https://www.tennisexplorer.com/list-players/?country=france
